"","type","date","country","total_cases"
"659","death",2020-02-22,"Australia",0
"660","death",2020-02-22,"Belgium",0
"661","death",2020-02-22,"China",205
"662","death",2020-02-22,"Italy",1
"663","death",2020-02-22,"Japan",0
"664","death",2020-02-22,"Spain",0
"665","death",2020-02-22,"US",0
"666","recovered",2020-02-22,"Australia",0
"667","recovered",2020-02-22,"Belgium",0
"668","recovered",2020-02-22,"China",3995
"669","recovered",2020-02-22,"Italy",1
"670","recovered",2020-02-22,"Japan",0
"671","recovered",2020-02-22,"Spain",0
"672","recovered",2020-02-22,"US",0
"673","confirmed",2020-02-23,"Australia",0
"674","confirmed",2020-02-23,"Belgium",0
"675","confirmed",2020-02-23,"China",21
"676","confirmed",2020-02-23,"Italy",93
"677","confirmed",2020-02-23,"Japan",12
"678","confirmed",2020-02-23,"Spain",0
"679","confirmed",2020-02-23,"US",0
"680","death",2020-02-23,"Australia",0
"681","death",2020-02-23,"Belgium",0
"682","death",2020-02-23,"China",2
"683","death",2020-02-23,"Italy",1
"684","death",2020-02-23,"Japan",0
"685","death",2020-02-23,"Spain",0
"686","death",2020-02-23,"US",0
