"","date","country","confirmed","death","recovered"
"510",2020-04-03,"Spain",7134,850,3770
"511",2020-04-03,"US",31937,1315,706
"512",2020-04-04,"Australia",220,2,52
"513",2020-04-04,"Belgium",1661,140,375
"514",2020-04-04,"China",32,4,186
"515",2020-04-04,"Italy",4805,681,1238
"516",2020-04-04,"Japan",371,6,0
"517",2020-04-04,"Spain",6969,749,3706
"518",2020-04-04,"US",33152,1284,4945
"519",2020-04-05,"Australia",137,5,56
"520",2020-04-05,"Belgium",1260,164,504
"521",2020-04-05,"China",59,3,261
"522",2020-04-05,"Italy",4316,525,819
"523",2020-04-05,"Japan",351,6,0
"524",2020-04-05,"Spain",5478,694,3861
"525",2020-04-05,"US",27874,1439,2796
"526",2020-04-06,"Australia",110,5,323
"527",2020-04-06,"Belgium",1123,185,235
"528",2020-04-06,"China",63,2,103
"529",2020-04-06,"Italy",3599,636,1022
"530",2020-04-06,"Japan",234,3,61
"531",2020-04-06,"Spain",5029,700,2357
"532",2020-04-06,"US",29642,1668,2133
"533",2020-04-07,"Australia",98,5,0
"534",2020-04-07,"Belgium",1380,403,171
"535",2020-04-07,"China",53,0,100
"536",2020-04-07,"Italy",3039,604,1555
"537",2020-04-07,"Japan",375,2,17
"538",2020-04-07,"Spain",5267,704,2771
"539",2020-04-07,"US",30777,2309,2182
"540",2020-04-08,"Australia",115,5,0
"541",2020-04-08,"Belgium",1209,205,524
"542",2020-04-08,"China",91,2,157
"543",2020-04-08,"Italy",3836,542,2099
"544",2020-04-08,"Japan",535,7,30
"545",2020-04-08,"Spain",6278,747,4813
"546",2020-04-08,"US",31694,2116,1796
"547",2020-04-09,"Australia",98,1,392
"548",2020-04-09,"Belgium",1580,283,483
"549",2020-04-09,"China",74,2,112
"550",2020-04-09,"Italy",4204,610,1979
"551",2020-04-09,"Japan",594,8,10
"552",2020-04-09,"Spain",5002,655,4144
"553",2020-04-09,"US",34756,2075,1851
"554",2020-04-10,"Australia",107,3,321
"555",2020-04-10,"Belgium",1684,496,404
"556",2020-04-10,"China",58,1,112
"557",2020-04-10,"Italy",3951,570,1985
"558",2020-04-10,"Japan",636,12,53
"559",2020-04-10,"Spain",5051,634,3503
"560",2020-04-10,"US",33501,2093,3380
"561",2020-04-11,"Australia",88,3,13
"562",2020-04-11,"Belgium",1351,327,418
"563",2020-04-11,"China",73,3,86
"564",2020-04-11,"Italy",4694,619,2079
"565",2020-04-11,"Japan",701,13,77
"566",2020-04-11,"Spain",4754,525,3441
"567",2020-04-11,"US",30026,2046,2480
"568",2020-04-12,"Australia",12,3,0
"569",2020-04-12,"Belgium",1629,254,477
"570",2020-04-12,"China",120,0,79
"571",2020-04-12,"Italy",4092,431,1677
"572",2020-04-12,"Japan",522,9,0
"573",2020-04-12,"Spain",3804,603,3282
"574",2020-04-12,"US",28553,1771,1718
"575",2020-04-13,"Australia",36,1,0
"576",2020-04-13,"Belgium",942,303,244
"577",2020-04-13,"China",79,2,83
"578",2020-04-13,"Italy",3153,566,1224
"579",2020-04-13,"Japan",300,9,22
"580",2020-04-13,"Spain",3268,547,2336
